passenger_class,gender,age,siblings_spouses,parents_children,ticket_fare,embarkation_port,survived
3,male,68,1,0,22.78,C,0
3,female,25,4,3,7.28,,1
1,female,23,3,0,75.16,C,1
3,female,22,4,2,49.36,Q,1
2,male,41,5,4,44.18,S,1
2,female,5,0,2,35.91,S,1
2,male,65,3,2,23.05,S,1
,female,,5,,47.01,C,1
2,female,19,3,0,20.39,C,1
3,male,54,5,0,43.44,S,1
2,female,50,2,3,55.9,Q,1
1,male,80,0,2,168.96,C,1
,male,8,4,5,37.62,S,1
2,male,31,4,3,50.29,Q,0
2,male,33,,1,,Q,1
3,,78,4,4,33.43,S,0
1,female,14,3,,281.73,S,1
3,female,5,5,2,46.65,Q,1
1,female,77,5,3,251.73,,1
,female,40,5,3,53.01,S,1
3,male,72,,1,30.22,C,0
3,female,4,0,5,41.16,S,1
1,female,34,2,3,177.09,Q,1
1,male,15,0,3,128.38,S,1
1,female,40,5,2,295.76,S,1
1,female,57,3,5,219.22,C,1
1,male,18,2,5,91.87,S,1
1,female,41,5,1,103.29,S,1
1,female,39,3,5,134.78,Q,1
3,male,32,4,2,21.34,S,1
1,female,4,3,5,115.79,Q,1
2,male,42,2,4,52.96,S,0
1,female,41,5,0,296.32,C,1
1,male,19,0,1,149.94,Q,1
3,female,1,2,0,24.51,S,1
2,male,73,1,3,20.63,S,1
1,male,20,0,1,102.61,C,1
3,female,11,1,4,43.98,C,1
1,female,73,4,5,196.18,C,1
1,male,65,0,3,85.46,C,1
2,female,65,4,1,42.68,S,1
1,female,35,2,4,98.96,Q,1
3,female,15,3,1,18.98,S,1
1,female,51,1,5,88.12,S,1
3,male,29,4,2,23.82,S,1
3,male,77,3,1,8.57,S,0
3,male,74,2,1,6.05,C,0
1,female,47,5,2,117.04,Q,1
3,male,3,3,5,6.71,S,1
1,female,50,1,4,172.83,S,1
2,female,50,5,3,70.59,C,1
1,male,17,3,2,139.33,C,1
1,female,30,3,3,166.51,Q,1
2,male,7,4,5,21.5,C,1
1,male,43,3,3,291.59,C,1
3,female,41,3,2,,Q,1
1,,13,0,4,223.26,C,1
3,male,31,0,5,49.19,S,0
3,male,2,4,5,12.91,,1
3,male,27,5,0,24.29,Q,1
,female,76,4,0,40.95,C,1
2,female,13,2,,81.36,Q,1
2,female,,5,5,24.11,Q,1
